collection_no,zone
29231,Liasicus
29232,Liasicus
29255,Liasicus
29256,Liasicus
27226,Angulata
27224,Angulata
27228,Angulata
27356,Angulata
28873,Bucklandi
28874,Bucklandi
28875,Bucklandi
28876,Bucklandi
28877,Bucklandi
28878,Bucklandi
28879,Bucklandi
28880,Bucklandi
28881,Bucklandi
28882,Bucklandi
28883,Bucklandi
28884,Bucklandi
28885,Bucklandi
28886,Bucklandi
28887,Bucklandi
28888,Bucklandi
28889,Bucklandi
28890,Bucklandi
28891,Bucklandi
29235,Bucklandi
29236,Bucklandi
29237,Bucklandi
29238,Bucklandi
29239,Bucklandi
29240,Bucklandi
29264,Bucklandi
29265,Bucklandi
29266,Bucklandi
29267,Bucklandi
29268,Bucklandi
29269,Bucklandi
29270,Bucklandi
29271,Bucklandi
29272,Bucklandi
29273,Bucklandi
29274,Bucklandi
29275,Bucklandi
29276,Bucklandi
29277,Bucklandi
59028,Bucklandi
28892,Semicostatum
28893,Semicostatum
28894,Semicostatum
28895,Semicostatum
28896,Semicostatum
28897,Semicostatum
29181,Semicostatum
29182,Semicostatum
29183,Semicostatum
29184,Semicostatum
29241,Semicostatum
29242,Semicostatum
29278,Semicostatum
29280,Semicostatum
29281,Semicostatum
29283,Semicostatum
29285,Semicostatum
29286,Semicostatum
29287,Semicostatum
29288,Semicostatum
29289,Semicostatum
29290,Semicostatum
29291,Semicostatum
29293,Semicostatum
29295,Semicostatum
29296,Semicostatum
29297,Semicostatum
29298,Semicostatum
29299,Semicostatum
29300,Semicostatum
29301,Semicostatum
29302,Semicostatum
29304,Semicostatum
29305,Semicostatum
29307,Semicostatum
29309,Semicostatum
29310,Semicostatum
29311,Semicostatum
29312,Semicostatum
29313,Semicostatum
29314,Semicostatum
29315,Semicostatum
29316,Semicostatum
29317,Semicostatum
29318,Semicostatum
29319,Semicostatum
29320,Semicostatum
29321,Semicostatum
29322,Semicostatum
29323,Semicostatum
29324,Semicostatum
29325,Semicostatum
29326,Semicostatum
29327,Semicostatum
29328,Semicostatum
29330,Semicostatum
29331,Semicostatum
29332,Semicostatum
29333,Semicostatum
29180,Semicostatum
25782,Bifrons
25783,Bifrons
25784,Bifrons
25879,Bifrons
25880,Bifrons
25881,Bifrons
25882,Bifrons
25883,Bifrons
25885,Bifrons
25886,Bifrons
25887,Bifrons
25888,Bifrons
25968,Bifrons
93535,Bifrons
93454,Bucklandi
29178,Bucklandi
29179,Bucklandi
4884,Bucklandi
90041,Davoei
12007,Concavum
12123,Concavum
106348,Davoei
108580,Pseudoradiosa
108581,Pseudoradiosa
108582,Pseudoradiosa
108583,Pseudoradiosa
108584,Pseudoradiosa
108585,Pseudoradiosa
108586,Pseudoradiosa
108587,Pseudoradiosa
108588,Pseudoradiosa
108601,Pseudoradiosa
108602,Pseudoradiosa
108603,Pseudoradiosa
108604,Pseudoradiosa
108605,Pseudoradiosa
108606,Pseudoradiosa
108607,Pseudoradiosa
108608,Pseudoradiosa
108609,Pseudoradiosa
108637,Pseudoradiosa
108638,Pseudoradiosa
108639,Pseudoradiosa
108640,Pseudoradiosa
108685,Pseudoradiosa
108686,Pseudoradiosa
108687,Pseudoradiosa
108688,Pseudoradiosa
108689,Pseudoradiosa
108690,Pseudoradiosa
108691,Pseudoradiosa
108692,Pseudoradiosa
124181,Pseudoradiosa
124182,Pseudoradiosa
126612,Pseudoradiosa
108574,Dispansum
108575,Dispansum
108576,Dispansum
108577,Dispansum
108578,Dispansum
108579,Dispansum
108592,Dispansum
108594,Dispansum
108595,Dispansum
108596,Dispansum
108597,Dispansum
108598,Dispansum
108599,Dispansum
108600,Dispansum
108628,Dispansum
108629,Dispansum
108630,Dispansum
108631,Dispansum
108632,Dispansum
108633,Dispansum
108634,Dispansum
108635,Dispansum
108636,Dispansum
108684,Dispansum
108593,Dispansum
126349,Dispansum
126350,Dispansum
126351,Dispansum
126352,Dispansum
126353,Dispansum
126354,Dispansum
126355,Dispansum
126356,Dispansum
126357,Dispansum
126358,Dispansum
126359,Dispansum
126360,Dispansum
126361,Dispansum
126362,Dispansum
126363,Dispansum
126364,Dispansum
126526,Dispansum
126527,Dispansum
32019,Liasicus
32020,Liasicus
153943,Falciferum
29062,Angulata
29063,Angulata
29113,Angulata
29114,Angulata
29115,Angulata
12006,Murchisonae
12096,Murchisonae
12005,Opalinum
12087,Opalinum
12088,Opalinum
12090,Opalinum
12095,Opalinum
12127,Opalinum
124178,Dispansum
124179,Dispansum
124180,Dispansum
23841,Spinatum
28848,Spinatum
28849,Spinatum
23624,Spinatum
23625,Spinatum
23626,Spinatum
23627,Spinatum
23628,Spinatum
23839,Spinatum
23840,Spinatum
23842,Spinatum
23843,Spinatum
23844,Spinatum
23845,Spinatum
23846,Spinatum
23847,Spinatum
23848,Spinatum
23854,Spinatum
28839,Spinatum
28842,Spinatum
28844,Spinatum
28845,Spinatum
28847,Spinatum
108610,Aalensis
108611,Aalensis
108612,Aalensis
108613,Aalensis
108641,Aalensis
108642,Aalensis
108643,Aalensis
108644,Aalensis
108645,Aalensis
108646,Aalensis
108647,Aalensis
108648,Aalensis
108649,Aalensis
108650,Aalensis
108651,Aalensis
108693,Aalensis
108694,Aalensis
108695,Aalensis
108696,Aalensis
110399,Aalensis
110400,Aalensis
110401,Aalensis
110402,Aalensis
124183,Aalensis
124184,Aalensis
124185,Aalensis
124186,Aalensis
124187,Aalensis
126613,Aalensis
126614,Aalensis
126615,Aalensis
126616,Aalensis
126617,Aalensis
126618,Aalensis
126619,Aalensis
126620,Aalensis
126621,Aalensis
126622,Aalensis
126623,Aalensis
126624,Aalensis
126625,Aalensis
126626,Aalensis
126627,Aalensis
126628,Aalensis
126629,Aalensis
126630,Aalensis
126631,Aalensis
126632,Aalensis
126633,Aalensis
126634,Aalensis
126635,Aalensis
126636,Aalensis
126637,Aalensis
126638,Aalensis
126639,Aalensis
95110,Aalensis
95098,Aalensis
62260,Davoei
140845,Pseudoradiosa
140846,Pseudoradiosa
150888,Pseudoradiosa
27354,Planorbis
27225,Planorbis
27227,Planorbis
27355,Planorbis
28867,Planorbis
29024,Planorbis
29025,Planorbis
29035,Planorbis
29036,Planorbis
29043,Planorbis
29044,Planorbis
29045,Planorbis
29046,Planorbis
29049,Planorbis
29050,Planorbis
29052,Planorbis
29225,Planorbis
29226,Planorbis
29227,Planorbis
29228,Planorbis
29230,Planorbis
29253,Planorbis
29254,Planorbis
29051,Planorbis
29053,Planorbis
29054,Planorbis
29055,Planorbis
29056,Planorbis
29058,Planorbis
29060,Planorbis
29061,Planorbis
28868,Angulata
28869,Angulata
28870,Angulata
28871,Angulata
28872,Angulata
29027,Angulata
29028,Angulata
29030,Angulata
29031,Angulata
29032,Angulata
29033,Angulata
29034,Angulata
29037,Angulata
29039,Angulata
29040,Angulata
29042,Angulata
29047,Angulata
29048,Angulata
29233,Angulata
29234,Angulata
29257,Angulata
29258,Angulata
29259,Angulata
29260,Angulata
29261,Angulata
29262,Angulata
29263,Angulata
25608,Falciferum
25609,Falciferum
25610,Falciferum
25611,Falciferum
25612,Falciferum
25613,Falciferum
25614,Falciferum
25615,Falciferum
25616,Falciferum
25617,Falciferum
25618,Falciferum
25619,Falciferum
25620,Falciferum
25621,Falciferum
25661,Falciferum
25662,Falciferum
25663,Falciferum
25664,Falciferum
25665,Falciferum
25666,Falciferum
25667,Falciferum
25668,Falciferum
25669,Falciferum
25670,Falciferum
25671,Falciferum
25672,Falciferum
25673,Falciferum
25674,Falciferum
25675,Falciferum
25771,Falciferum
25772,Falciferum
25773,Falciferum
25774,Falciferum
25775,Falciferum
25776,Falciferum
25777,Falciferum
25778,Falciferum
25779,Falciferum
25780,Falciferum
25781,Falciferum
25940,Falciferum
25941,Falciferum
25942,Falciferum
25943,Falciferum
25944,Falciferum
25945,Falciferum
25956,Falciferum
25957,Falciferum
25958,Falciferum
25959,Falciferum
25960,Falciferum
25961,Falciferum
25962,Falciferum
25963,Falciferum
25964,Falciferum
25965,Falciferum
25966,Falciferum
25967,Falciferum
26152,Falciferum
26153,Falciferum
26154,Falciferum
26155,Falciferum
26156,Falciferum
26321,Falciferum
26322,Falciferum
26323,Falciferum
26393,Falciferum
26395,Falciferum
26397,Falciferum
26398,Falciferum
26400,Falciferum
26401,Falciferum
26403,Falciferum
25211,Tenuicostatum
25212,Tenuicostatum
25213,Tenuicostatum
25214,Tenuicostatum
25215,Tenuicostatum
25216,Tenuicostatum
25217,Tenuicostatum
25218,Tenuicostatum
25936,Tenuicostatum
25937,Tenuicostatum
25938,Tenuicostatum
25939,Tenuicostatum
25946,Tenuicostatum
25947,Tenuicostatum
25948,Tenuicostatum
25949,Tenuicostatum
25950,Tenuicostatum
25951,Tenuicostatum
25952,Tenuicostatum
25953,Tenuicostatum
25954,Tenuicostatum
25955,Tenuicostatum
26137,Tenuicostatum
26138,Tenuicostatum
26139,Tenuicostatum
26140,Tenuicostatum
26141,Tenuicostatum
26142,Tenuicostatum
26143,Tenuicostatum
26144,Tenuicostatum
26145,Tenuicostatum
26146,Tenuicostatum
26147,Tenuicostatum
26148,Tenuicostatum
26149,Tenuicostatum
26150,Tenuicostatum
26151,Tenuicostatum
26324,Tenuicostatum
26325,Tenuicostatum
26326,Tenuicostatum
26327,Tenuicostatum
26328,Tenuicostatum
26329,Tenuicostatum
26330,Tenuicostatum
26332,Tenuicostatum
26334,Tenuicostatum
26335,Tenuicostatum
26336,Tenuicostatum
26382,Tenuicostatum
26383,Tenuicostatum
26384,Tenuicostatum
26385,Tenuicostatum
26386,Tenuicostatum
26387,Tenuicostatum
26388,Tenuicostatum
26389,Tenuicostatum
26390,Tenuicostatum
26391,Tenuicostatum
93534,Tenuicostatum
31839,Thouarsense
92961,Aalensis
39215,Planorbis
23813,Spinatum
59029,Davoei
59031,Davoei
59033,Davoei
62266,Davoei
